scheduleid,routeid,scheduleday,scheduletime,
608,13,0,676,
609,13,0,706,
610,13,0,736,
611,13,0,766,
612,13,0,796,
613,13,0,826,
614,13,0,848,
615,13,0,863,
616,13,0,878,
617,13,0,893,
618,13,0,906,
619,13,0,921,
620,13,0,936,
621,13,0,951,
622,13,0,966,
623,13,0,981,
624,13,0,996,
625,13,0,1011,
626,13,0,1041,
627,13,0,1071,
628,13,0,1101,
629,13,0,1131,
630,13,0,1167,
631,13,0,1197,
632,13,0,1227,
633,13,0,1257,
634,13,0,1287,
635,13,0,1317,
636,13,0,1351,
637,13,0,1381,
638,14,0,306,
639,14,0,326,
640,14,0,356,
641,14,0,368,
642,14,0,383,
643,14,0,398,
644,14,0,413,
645,14,0,428,
646,14,0,443,
647,14,0,458,
648,14,0,473,
649,14,0,492,
650,14,0,507,
651,14,0,522,
652,14,0,537,
653,14,0,562,
654,14,0,592,
655,14,0,622,
656,14,0,652,
657,14,0,682,
658,14,0,712,
659,14,0,742,
660,14,0,772,
661,14,0,802,
662,14,0,832,
663,14,0,854,
664,14,0,869,
665,14,0,884,
666,14,0,899,
667,14,0,912,
668,14,0,927,
669,14,0,942,
670,14,0,957,
671,14,0,972,
672,14,0,987,
673,14,0,1002,
674,14,0,1017,
675,14,0,1047,
676,14,0,1077,
677,14,0,1107,
678,14,0,1137,
679,14,0,1173,
680,14,0,1203,
681,14,0,1233,
682,14,0,1263,
683,14,0,1293,
684,14,0,1323,
685,14,0,1357,
686,14,0,1387,
687,15,0,308,
688,15,0,328,
689,15,0,358,
690,15,0,371,
691,15,0,386,
692,15,0,401,
693,15,0,416,
694,15,0,431,
695,15,0,446,
696,15,0,461,
697,15,0,476,
698,15,0,495,
699,15,0,510,
700,15,0,525,
701,15,0,540,
702,15,0,565,
703,15,0,595,
704,15,0,625,
705,15,0,655,
706,15,0,685,
707,15,0,715,
708,15,0,745,
709,15,0,775,
710,15,0,805,
711,15,0,835,
712,15,0,857,
713,15,0,872,
714,15,0,887,
715,15,0,902,
716,15,0,915,
717,15,0,930,
718,15,0,945,
719,15,0,960,
720,15,0,975,
721,15,0,990,
722,15,0,1005,
723,15,0,1020,
724,15,0,1049,
725,15,0,1079,
726,15,0,1109,
727,15,0,1139,
728,15,0,1175,
729,15,0,1205,
730,15,0,1235,
731,15,0,1265,
732,15,0,1295,
733,15,0,1325,
734,15,0,1359,
735,15,0,1389,
736,16,0,313,
737,16,0,334,
738,16,0,364,
739,16,0,378,
740,16,0,393,
741,16,0,408,
742,16,0,423,
743,16,0,438,
744,16,0,453,
745,16,0,468,
746,16,0,483,
747,16,0,501,
748,16,0,516,
749,16,0,531,
750,16,0,546,
751,16,0,571,
752,16,0,601,
753,16,0,631,
754,16,0,661,
755,16,0,691,
756,16,0,721,
757,16,0,751,
758,16,0,781,
759,16,0,811,
760,16,0,841,
761,16,0,863,
762,16,0,878,
763,16,0,893,
764,16,0,908,
765,16,0,921,
766,16,0,936,
767,16,0,951,
768,16,0,966,
769,16,0,981,
770,16,0,996,
771,16,0,1011,
772,16,0,1026,
773,16,0,1055,
774,16,0,1085,
775,16,0,1115,
776,16,0,1145,
777,16,0,1180,
778,16,0,1210,
779,16,0,1240,
780,16,0,1270,
781,16,0,1300,
782,16,0,1330,
783,16,0,1364,
784,16,0,1394,
785,17,0,318,
786,17,0,339,
787,17,0,369,
788,17,0,384,
789,17,0,399,
790,17,0,414,
791,17,0,429,
792,17,0,444,
793,17,0,459,
794,17,0,474,
795,17,0,489,
796,17,0,506,
797,17,0,521,
798,17,0,536,
799,17,0,551,
800,17,0,576,
801,17,0,606,
802,17,0,636,
803,17,0,666,
804,17,0,696,
805,17,0,726,
806,17,0,756,
807,17,0,786,
808,17,0,816,
809,17,0,846,
810,17,0,868,
811,17,0,883,
812,17,0,898,
813,17,0,913,
814,17,0,926,
815,17,0,941,
816,17,0,956,
817,17,0,971,
818,17,0,986,
819,17,0,1001,
820,17,0,1016,
821,17,0,1031,
822,17,0,1060,
823,17,0,1090,
824,17,0,1120,
825,17,0,1150,
826,17,0,1185,
827,17,0,1215,
828,17,0,1245,
829,17,0,1275,
830,17,0,1305,
831,17,0,1335,
832,17,0,1368,
833,17,0,1398,
834,18,0,321,
835,18,0,343,
836,18,0,373,
837,18,0,390,
838,18,0,405,
839,18,0,420,
